Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-01-25,The Toxic Avenger,1984,https://boxd.it/CC0gV,5,Yes,,2019-01-23
2019-01-26,Polar,2019,https://boxd.it/CCe2t,1.5,,,2019-01-25
2019-03-14,The Time Machine,2002,https://boxd.it/FdG8B,4,Yes,,2019-03-13
2019-07-29,The Ugly Truth,2009,https://boxd.it/LXint,2.5,,,2019-07-28
2019-07-29,Max Keeble's Big Move,2001,https://boxd.it/LXw75,5,Yes,,2019-07-28
2019-07-31,The Body,2018,https://boxd.it/M4VLt,4,,,2019-07-31
2019-07-31,I'm Just F*cking with You,2019,https://boxd.it/M4VQD,5,,,2019-07-31
2019-08-21,Bob Lazar: Area 51 and Flying Saucers,2018,https://boxd.it/N95Ez,1,,,2019-08-20
2019-09-27,American Psycho,2000,https://boxd.it/P3VnB,4,Yes,,2019-09-26
2019-10-28,Joker,2019,https://boxd.it/QVUPB,4,,,2019-10-28
2019-11-13,Sherlock Holmes,2009,https://boxd.it/RUrcR,3,,,2019-11-13
2019-11-16,Home,2015,https://boxd.it/S3PJt,3.5,,sierra,2019-11-16
2019-11-29,The Abyss,1989,https://boxd.it/SQgND,4.5,Yes,sierra,2019-11-26
2019-12-02,Hit & Run,2012,https://boxd.it/T4Dlb,4,Yes,,2019-12-02
2019-12-09,Miracle on 34th Street,1994,https://boxd.it/TsI7L,5,Yes,,2019-12-08
2019-12-18,Hancock,2008,https://boxd.it/U4QvH,3.5,Yes,,2019-12-17
2020-01-11,Ready Player One,2018,https://boxd.it/WhcOD,0.5,,,2020-01-11
2020-01-13,Ocean's Eight,2018,https://boxd.it/WqwVx,5,,,2020-01-12
2020-01-15,Patton,1970,https://boxd.it/WHaT9,4,Yes,,2020-01-13
2020-01-15,The Adjustment Bureau,2011,https://boxd.it/WHySz,,,,2020-01-14
2020-01-15,Paul,2011,https://boxd.it/WI5kF,1.5,,,2020-01-14
2020-01-19,Magnolia,1999,https://boxd.it/WZAR5,4,,,2020-01-17
2020-01-20,Casino Royale,2006,https://boxd.it/XbS6l,4,Yes,,2020-01-20
2020-01-25,Enemy at the Gates,2001,https://boxd.it/XykRN,2,Yes,,2020-01-24
2020-02-16,Horse Girl,2020,https://boxd.it/Zwaqh,2.5,,,2020-02-14
2020-02-17,Parasite,2019,https://boxd.it/ZCg9X,4.5,,sierra,2020-02-16
2020-03-01,Homecoming: A Film by Beyoncé,2019,https://boxd.it/10Erlj,5,,sierra,2020-02-29
2020-03-04,Steve Jobs,2015,https://boxd.it/10YFmb,3,,,2020-03-04
2020-03-10,Spenser Confidential,2020,https://boxd.it/11q6Eb,4,,,2020-03-09
2020-03-21,1917,2019,https://boxd.it/12mVh9,4.5,,sierra,2020-03-21
2020-04-01,The Platform,2019,https://boxd.it/13DSxV,2.5,,sierra,2020-03-31
2020-04-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/13KPcT,1,,sierra,2020-04-01
2020-04-07,Salt,2010,https://boxd.it/14nP31,4,Yes,sierra,2020-04-06
2020-04-09,The Roommate,2011,https://boxd.it/14Cguh,2,,sierra,2020-04-08
2020-04-12,Black Panther,2018,https://boxd.it/14XHc7,5,Yes,sierra,2020-04-11
2020-04-28,Gone in Sixty Seconds,2000,https://boxd.it/172Gir,5,Yes,,2020-04-27
2020-05-02,Baby Boy,2001,https://boxd.it/17yj83,4,,,2020-05-02
2020-05-10,Star Trek: First Contact,1996,https://boxd.it/18vt1z,4,Yes,,2020-05-09
2020-05-28,Django Unchained,2012,https://boxd.it/1aCzQv,4,Yes,,2020-05-28
2020-05-30,A Quiet Place,2018,https://boxd.it/1aMLsl,,,sierra,2020-05-29
2020-06-09,13th,2016,https://boxd.it/1bQaaV,5,,sierra,2020-06-08
2020-06-23,Bumblebee,2018,https://boxd.it/1dlboP,2,,,2020-06-23
2020-07-09,Alt-Right: Age of Rage,2018,https://boxd.it/1eVKDL,,,sierra,2020-07-08
2020-07-24,The Devil's Advocate,1997,https://boxd.it/1gwGqh,4,Yes,,2020-07-24
2020-08-17,Nightcrawler,2014,https://boxd.it/1iXxbT,3,Yes,sierra,2020-08-16
2020-08-28,Clerks,1994,https://boxd.it/1k5nS9,,,sierra,2020-08-27
2020-08-29,The Binge,2020,https://boxd.it/1kbijZ,4,,sierra,2020-08-28
2020-09-04,Beastie Boys Story,2020,https://boxd.it/1kTPbH,4.5,,sierra,2020-09-04
2020-09-05,Capone,2020,https://boxd.it/1l0j1J,4,,sierra,2020-09-05
2020-09-21,Unpregnant,2020,https://boxd.it/1mC5BX,3.5,,sierra,2020-09-20
2020-09-26,The Social Dilemma,2020,https://boxd.it/1naLBX,4,,sierra,2020-09-26
2020-11-01,Bad Hair,2020,https://boxd.it/1rabHh,5,,,2020-11-01
2020-11-15,Please Stand By,2017,https://boxd.it/1szI1R,,,sierra,2020-11-15
2020-12-07,The Queen's Gambit,2020,https://boxd.it/1v01w5,3,,,2020-12-07
2020-12-16,Constantine,2005,https://boxd.it/1vSzbN,,Yes,,2020-12-15
2020-12-19,Dirty Harry,1971,https://boxd.it/1wggjL,,,,2020-12-15
2020-12-16,Watchmen,2009,https://boxd.it/1vYpgP,2,Yes,,2020-12-16
2020-12-26,Ava,2020,https://boxd.it/1xeERn,,,,2020-12-25
2020-12-26,The Da Vinci Code,2006,https://boxd.it/1xfT93,,Yes,,2020-12-26
2020-12-26,Angels & Demons,2009,https://boxd.it/1xgvbV,,Yes,,2020-12-26
2020-12-27,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/1xrGCl,1,,,2020-12-27
2020-12-31,Steve Jobs: The Man in the Machine,2015,https://boxd.it/1y9OTn,4,,,2020-12-31
2021-01-02,No Country for Old Men,2007,https://boxd.it/1yqKad,5,Yes,,2021-01-01
2021-01-02,The Color Purple,1985,https://boxd.it/1ysJ4d,,,,2021-01-01
2021-01-02,The Exorcist,1973,https://boxd.it/1yuG2n,,,,2021-01-01
2021-01-02,The Conjuring 2,2016,https://boxd.it/1yxK7H,,,,2021-01-02
2021-01-04,War Dogs,2016,https://boxd.it/1yYpvR,4,,,2021-01-04
2021-01-05,Enemy of the State,1998,https://boxd.it/1z2rBl,,Yes,,2021-01-04
2021-01-05,Best Laid Plans,1999,https://boxd.it/1z3v43,4,,,2021-01-04
2021-01-05,Ad Astra,2019,https://boxd.it/1z7BxD,4,,,2021-01-04
2021-01-05,The Chronicles of Riddick,2004,https://boxd.it/1z8gXn,,Yes,,2021-01-05
2021-01-07,Ocean's Thirteen,2007,https://boxd.it/1zjNEv,4,Yes,,2021-01-06
2021-01-07,Insomnia,2002,https://boxd.it/1zl3wz,,,,2021-01-06
2021-01-07,Brexit: The Uncivil War,2019,https://boxd.it/1zl3Bz,,,,2021-01-06
2021-01-07,Risky Business,1983,https://boxd.it/1zohSF,1.5,,,2021-01-06
2021-01-07,Rebel Without a Cause,1955,https://boxd.it/1zp0Mx,,,,2021-01-06
2021-01-07,Clash of the Titans,2010,https://boxd.it/1zq1m3,,,,2021-01-07
2021-01-07,Wrath of the Titans,2012,https://boxd.it/1zq1n1,,,,2021-01-07
2021-01-07,Lovelace,2013,https://boxd.it/1zq1w3,,,,2021-01-07
2021-01-08,The Hindenburg,1975,https://boxd.it/1zqdQp,,Yes,,2021-01-07
2021-01-08,Blade,1998,https://boxd.it/1zqyO5,,,,2021-01-07
2021-01-08,Ready Player One,2018,https://boxd.it/1zxa2F,4,Yes,,2021-01-07
2021-01-10,Transhood,2020,https://boxd.it/1zIr3d,,,,2021-01-09
2021-01-10,Blade II,2002,https://boxd.it/1zJz1h,,,,2021-01-09
2021-01-10,Baby Doll,1956,https://boxd.it/1zKwKl,,,,2021-01-09
2021-01-10,Friday Night Lights,2004,https://boxd.it/1zLHP9,4,Yes,,2021-01-09
2021-01-10,There Will Be Blood,2007,https://boxd.it/1zPl5B,,Yes,,2021-01-09
2021-01-11,Gangs of New York,2002,https://boxd.it/1A2ZVN,,,,2021-01-11
2021-01-12,Magnolia,1999,https://boxd.it/1A7DDH,4,Yes,,2021-01-11
2021-01-14,All Cars Go To Heaven - Volume 1: The Washington Discovery Route,2014,https://boxd.it/1AsRMF,,,,2021-01-13
2021-01-14,All Cars Go To Heaven - Volume 2: Better Than A Horse,2015,https://boxd.it/1AsROV,,,,2021-01-13
2021-01-18,The Departed,2006,https://boxd.it/1B2tZH,,,,2021-01-17
2021-01-20,Killing Them Softly,2012,https://boxd.it/1BlG7B,,,,2021-01-19
2021-01-25,Rush,2013,https://boxd.it/1C46cP,4,,,2021-01-24
2021-01-27,Munich,2005,https://boxd.it/1CmTpf,,,,2021-01-26
2021-01-27,The Bourne Supremacy,2004,https://boxd.it/1CngPb,,Yes,,2021-01-26
2021-01-27,Mile 22,2018,https://boxd.it/1CnTvp,,,,2021-01-26
2021-01-27,Dead Poets Society,1989,https://boxd.it/1CsxGP,,Yes,,2021-01-27
2021-01-28,Brokeback Mountain,2005,https://boxd.it/1CyEoZ,5,,,2021-01-27
2021-01-29,Winter's Bone,2010,https://boxd.it/1CCytH,,,,2021-01-28
2021-01-29,The Last of the Mohicans,1992,https://boxd.it/1CEWEt,,,,2021-01-28
