Table 1/2: Government Information Requests,,,,,,,,,,,,
Time period start,Country,Routine requests,Emergency requests,Combined requests,Routine compliance rate,Emergency compliance rate,Combined compliance rate,Routine accounts specified,Emergency accounts specified,Combined accounts specified,Preservation accounts,Preservation requests
2019-07-01,China**,1,0,1,0,(null),0,1,0,1,0,0
2019-07-01,Colombia,21,16,37,0,0,0,42,29,71,19,15
2019-07-01,Costa Rica,0,0,0,(null),(null),(null),0,0,0,2,2
2019-07-01,Croatia,0,1,1,(null),0,0,0,1,1,0,0
2019-07-01,Czech Republic,1,0,1,0,(null),0,2,0,2,2,1
2019-07-01,Denmark,0,0,0,(null),(null),(null),0,0,0,1,1
2019-07-01,Dominican Republic,0,3,3,(null),0,0,0,3,3,1,1
2019-07-01,Ecuador,2,1,3,0,0,0,2,1,3,46,13
2019-07-01,El Salvador,4,1,5,0,0,0,6,3,9,4,2
2019-07-01,Finland,2,0,2,0.5,(null),0.5,2,0,2,0,0
2019-07-01,France,979,78,1057,0.69,0.23,0.66,1336,103,1439,1,1
2019-07-01,Germany,372,28,400,0.19,0.14,0.19,563,42,605,32,5
2019-07-01,Greece,8,7,15,0,0.14,0.07,15,7,22,9,8
2019-07-01,Guatemala,0,1,1,(null),0,0,0,1,1,0,0
2019-07-01,Hong Kong SAR,2,1,3,0,0,0,2,1,3,0,0
2019-07-01,Hungary,1,2,3,0,0,0,1,2,3,0,0
2019-07-01,India,662,127,789,0.02,0.01,0.02,2683,190,2873,1028,144
2019-07-01,Indonesia,2,2,4,0,0.5,0.25,3,5,8,0,0
2019-07-01,Ireland,79,4,83,0.01,0.25,0.02,113,13,126,100,23
2019-07-01,Israel,0,4,4,(null),0,0,0,4,4,0,0
2019-07-01,Italy,52,5,57,0.12,0.2,0.12,96,5,101,6,5
2019-07-01,Japan,1664,297,1961,0.47,0.36,0.45,2526,332,2858,2,2
2019-07-01,Jordan,1,3,4,0,0,0,1,3,4,0,0
2019-07-01,Kuwait,0,6,6,(null),0.17,0.17,0,6,6,0,0
2019-07-01,Macedonia,6,0,6,0,(null),0,8,0,8,0,0
2019-07-01,Malaysia,0,5,5,(null),0,0,0,7,7,0,0
2019-07-01,Maldives,3,6,9,0,0,0,3,6,9,11,1
2019-07-01,Malta,1,0,1,0,(null),0,1,0,1,0,0
2019-07-01,Mexico,38,22,60,0,0.05,0.02,55,31,86,2,2
2019-07-01,Monaco,1,0,1,0,(null),0,19,0,19,0,0
2019-07-01,Mongolia,1,0,1,0,(null),0,1,0,1,0,0
2019-07-01,Nepal,3,2,5,0,0,0,3,2,5,0,0
2019-07-01,Netherlands,9,9,18,0.44,0,0.22,9,10,19,27,25
2019-07-01,New Zealand,1,3,4,0,0.67,0.5,1,3,4,4,3
2019-07-01,Norway,3,1,4,0,0,0,6,1,7,0,0
2019-07-01,Other,0,0,0,(null),(null),(null),0,0,0,1,1
2019-07-01,Pakistan,8,5,13,0,0,0,10,8,18,0,0
2019-07-01,Panama,0,1,1,(null),0,0,0,1,1,0,0
2019-07-01,Peru,0,0,0,(null),(null),(null),0,0,0,3,2
2019-07-01,Poland,35,56,91,0,0.02,0.01,68,55,123,2,2
2019-07-01,Portugal,2,0,2,0,(null),0,3,0,3,1,1
2019-07-01,Qatar,0,1,1,(null),0,0,0,4,4,0,0
2019-07-01,Romania,0,1,1,(null),0,0,0,1,1,0,0
2019-07-01,Russia,1,1,2,0,0,0,1,1,2,0,0
2019-07-01,Saudi Arabia,0,5,5,(null),0,0,0,5,5,0,0
2019-07-01,Serbia,16,10,26,0,0,0,20,11,31,4,3
2019-07-01,Singapore,12,2,14,0,0,0,16,3,19,0,0
2019-07-01,South Africa,0,0,0,(null),(null),(null),0,0,0,2,1
2019-07-01,South Korea,123,361,484,0.33,0.29,0.3,231,427,658,7,7
2019-07-01,Spain,104,3,107,0.21,0,0.21,172,4,176,27,22
2019-07-01,Sri Lanka,0,5,5,(null),0,0,0,5,5,0,0
2019-07-01,Sweden,9,3,12,0.44,0.33,0.42,15,3,18,0,0
2019-07-01,Switzerland,3,1,4,0,0,0,3,1,4,1,1
2019-07-01,Taiwan,1,4,5,0,0,0,1,4,5,0,0
2019-07-01,Thailand,1,1,2,0,0,0,1,0,1,0,0
2019-07-01,Turkey,449,29,478,0,0,0,866,30,896,0,0
2019-07-01,United Arab Emirates,0,10,10,(null),0,0,0,11,11,0,0
2019-07-01,United Kingdom,320,113,433,0.52,0.5,0.52,401,121,522,102,56
2019-07-01,United States,1772,499,2271,0.74,0.2,0.62,8381,589,8970,2046,1201
2019-07-01,Uruguay,0,2,2,(null),0,0,0,3,3,0,0
2019-01-01,Argentina,22,5,27,0.09,0,0.07,146,6,152,14,13
2019-01-01,Australia,16,6,22,0.56,0.67,0.59,49,6,55,62,18
2019-01-01,Austria,3,0,3,0.67,(null),0.67,0,0,0,1,1
2019-01-01,Bangladesh,0,2,2,(null),0,0,0,2,2,0,0
2019-01-01,Belgium,21,2,23,0.76,0,0.7,55,3,58,3,3
2019-01-01,Bosnia And Herzegovina,3,0,3,0,(null),0,0,0,0,0,0
2019-01-01,Brazil,88,17,105,0.13,0,0.1,170,27,197,34,21
2019-01-01,Canada,10,35,45,0.6,0.57,0.58,12,40,52,31,20
2019-01-01,Chile,12,4,16,0,0.25,0.06,18,4,22,0,0
2019-01-01,Colombia,26,7,33,0,0,0,26,7,33,16,9
2019-01-01,Costa Rica,1,2,3,0,0,0,1,2,3,7,5
2019-01-01,Cyprus,1,0,1,0,(null),0,0,0,0,2,2
2019-01-01,Czech Republic,1,3,4,0,0,0,1,3,4,2,1
2019-01-01,Denmark,5,1,6,0.4,0,0.33,7,1,8,3,3
2019-01-01,Dominican Republic,0,3,3,(null),0,0,0,3,3,0,0
2019-01-01,Ecuador,0,1,1,(null),0,0,0,2,2,0,0
2019-01-01,Egypt,0,1,1,(null),0,0,0,1,1,0,0
2019-01-01,El Salvador,2,0,2,0,(null),0,0,0,0,0,0
2019-01-01,Estonia,2,0,2,0,(null),0,0,0,0,0,0
2019-01-01,Finland,2,2,4,0.5,0.5,0.5,2,2,4,3,3
2019-01-01,France,499,50,549,0.58,0.34,0.56,742,66,808,3,1
2019-01-01,Germany,415,43,458,0.18,0.16,0.18,622,69,691,91,37
2019-01-01,Greece,17,7,24,0,0.14,0.04,18,7,25,14,7
2019-01-01,Guatemala,3,0,3,0,(null),0,0,0,0,0,0
2019-01-01,Hong Kong SAR,2,1,3,0,0,0,3,1,4,0,0
2019-01-01,India,395,79,474,0.05,0.04,0.05,1162,106,1268,145,36
2019-01-01,Indonesia,0,12,12,(null),0,0,0,12,12,0,0
2019-01-01,Iraq,1,0,1,0,(null),0,0,0,0,0,0
2019-01-01,Ireland,10,0,10,0.3,(null),0.3,0,0,0,9,7
2019-01-01,Israel,0,3,3,(null),0,0,0,3,3,0,0
2019-01-01,Italy,54,12,66,0.2,0.17,0.2,173,13,186,38,7
2019-01-01,Japan,1464,278,1742,0.51,0.56,0.52,2140,305,2445,0,0
2019-01-01,Jordan,0,1,1,(null),0,0,0,1,1,0,0
2019-01-01,Kosovo,0,1,1,(null),0,0,0,1,1,0,0
2019-01-01,Kuwait,0,4,4,(null),0.25,0.25,0,4,4,0,0
2019-01-01,Macedonia,4,0,4,0,(null),0,0,0,0,0,0
2019-01-01,Malaysia,0,1,1,(null),0,0,0,1,1,0,0
2019-01-01,Malta,1,0,1,0,(null),0,0,0,0,0,0
2019-01-01,Mexico,34,20,54,0.03,0,0.02,44,24,68,7,3
2019-01-01,Montenegro,0,1,1,(null),0,0,0,1,1,0,0
2019-01-01,Nepal,0,1,1,(null),0,0,0,1,1,0,0
