"Country Code",Region,Opens
CN,CN_44,1
MX,distrito_federal,1
US,AR,1
US,CA,3
US,GA,1
US,IL,1
US,MO,6
US,NY,7
US,OR,3
US,TN,5
US,TX,2
US,WA,10
