"Country Code",Region,Opens
CN,CN_11,1
CN,CN_44,1
MX,distrito_federal,2
US,CA,2
US,GA,3
US,MO,1
US,NY,2
US,OR,1
US,TN,1
US,TX,2
US,WA,3
